Numéro du groupe,Femmes,Hommes,WCHR,TransitTime
1.0,1,0.0,0.0,00:55:00
2.0,0,1.0,0.0,00:00:00
3.0,1,0.0,0.0,01:15:00
4.0,1,1.0,0.0,03:15:00
5.0,1,0.0,0.0,00:00:00
6.0,2,0.0,0.0,00:00:00
7.0,0,0.0,1.0,00:00:00
8.0,1,4.0,0.0,00:00:00
9.0,4,0.0,0.0,00:00:00
10.0,1,0.0,0.0,00:00:00
11.0,1,1.0,0.0,00:00:00
12.0,5,0.0,0.0,00:00:00
13.0,2,0.0,2.0,01:15:00
14.0,4,1.0,0.0,00:55:00
15.0,1,0.0,0.0,00:00:00
16.0,0,0.0,1.0,00:55:00
17.0,1,1.0,0.0,00:00:00
18.0,5,0.0,0.0,01:15:00
19.0,1,0.0,0.0,03:15:00
20.0,2,0.0,0.0,01:15:00
21.0,0,0.0,1.0,00:00:00
22.0,1,0.0,0.0,00:00:00
23.0,1,2.0,0.0,00:00:00
24.0,4,0.0,0.0,01:15:00
25.0,1,0.0,0.0,00:00:00
26.0,0,1.0,2.0,00:55:00
27.0,1,1.0,0.0,00:00:00
28.0,0,1.0,0.0,00:00:00
29.0,0,1.0,0.0,00:00:00
30.0,0,1.0,0.0,00:00:00
31.0,1,0.0,0.0,00:00:00
32.0,1,0.0,0.0,00:00:00
33.0,0,1.0,0.0,00:55:00
34.0,0,1.0,0.0,00:00:00
35.0,1,0.0,0.0,00:00:00
36.0,1,1.0,0.0,00:55:00
37.0,1,0.0,0.0,00:00:00
38.0,2,1.0,0.0,00:00:00
39.0,1,1.0,0.0,00:00:00
40.0,0,1.0,0.0,00:00:00
41.0,0,2.0,0.0,00:00:00
42.0,1,1.0,0.0,00:55:00
43.0,0,1.0,0.0,01:15:00
44.0,0,1.0,0.0,00:00:00
45.0,0,1.0,0.0,00:00:00
46.0,5,0.0,0.0,00:00:00
47.0,1,0.0,0.0,00:00:00
48.0,0,1.0,0.0,00:00:00
49.0,0,1.0,0.0,00:00:00
50.0,0,1.0,0.0,00:00:00
51.0,0,1.0,1.0,00:00:00
52.0,1,0.0,0.0,00:00:00
53.0,1,0.0,0.0,00:00:00
54.0,0,1.0,0.0,00:00:00
55.0,0,1.0,0.0,00:00:00
56.0,0,1.0,0.0,03:15:00
57.0,2,2.0,0.0,00:00:00
58.0,0,1.0,0.0,00:00:00
59.0,0,1.0,0.0,00:00:00
60.0,0,2.0,0.0,00:00:00
61.0,0,1.0,0.0,00:00:00
62.0,1,0.0,0.0,00:00:00
63.0,0,1.0,0.0,01:15:00
64.0,0,1.0,0.0,00:55:00
65.0,2,2.0,0.0,00:00:00
66.0,1,0.0,0.0,00:00:00
67.0,1,1.0,0.0,03:15:00
68.0,0,1.0,0.0,00:00:00
69.0,0,1.0,0.0,00:00:00
70.0,0,1.0,0.0,00:00:00
71.0,1,0.0,0.0,00:00:00
72.0,0,1.0,0.0,00:55:00
73.0,1,1.0,0.0,01:15:00
74.0,2,1.0,0.0,03:15:00
75.0,2,1.0,0.0,00:00:00
76.0,1,1.0,0.0,00:00:00
77.0,0,1.0,0.0,00:00:00
78.0,0,1.0,0.0,00:00:00
79.0,0,2.0,0.0,09:00:00
80.0,0,1.0,0.0,01:15:00
81.0,1,1.0,0.0,00:55:00
82.0,1,2.0,0.0,00:00:00
83.0,1,2.0,0.0,00:00:00
84.0,0,2.0,0.0,00:00:00
85.0,0,2.0,0.0,00:00:00
86.0,1,0.0,1.0,00:00:00
87.0,1,0.0,0.0,03:15:00
88.0,2,1.0,0.0,00:00:00
89.0,2,1.0,0.0,00:00:00
,82,71.0,9.0,
,162,,,
