Numéro du groupe,Femmes,Hommes,WCHR,TransitTime
1.0,2,2.0,0.0,00:00:00
2.0,1,0.0,0.0,00:00:00
3.0,0,1.0,1.0,01:00:00
4.0,4,0.0,0.0,00:00:00
5.0,1,0.0,0.0,01:55:00
6.0,1,1.0,0.0,00:00:00
7.0,0,1.0,1.0,00:00:00
8.0,0,1.0,0.0,00:00:00
9.0,1,0.0,0.0,00:00:00
10.0,1,0.0,1.0,00:00:00
11.0,2,3.0,0.0,01:00:00
12.0,0,0.0,1.0,00:00:00
13.0,0,1.0,0.0,00:00:00
14.0,0,1.0,0.0,00:00:00
15.0,2,0.0,0.0,00:00:00
16.0,0,1.0,0.0,04:15:00
17.0,1,0.0,1.0,00:00:00
18.0,1,1.0,0.0,00:00:00
19.0,1,2.0,0.0,00:00:00
20.0,1,0.0,0.0,00:00:00
21.0,1,0.0,0.0,01:55:00
22.0,1,0.0,0.0,00:00:00
23.0,0,1.0,0.0,02:45:00
24.0,2,0.0,0.0,01:55:00
25.0,1,0.0,0.0,00:00:00
26.0,1,0.0,0.0,00:00:00
27.0,0,1.0,0.0,00:00:00
28.0,2,0.0,0.0,00:00:00
29.0,1,0.0,0.0,00:00:00
30.0,0,1.0,0.0,01:00:00
31.0,1,1.0,0.0,00:00:00
32.0,1,0.0,0.0,00:00:00
33.0,0,1.0,0.0,00:00:00
34.0,0,1.0,0.0,04:15:00
35.0,0,1.0,0.0,00:00:00
36.0,1,2.0,0.0,01:55:00
37.0,1,1.0,0.0,01:00:00
38.0,1,0.0,0.0,00:00:00
39.0,1,0.0,0.0,00:00:00
40.0,0,1.0,0.0,00:00:00
41.0,0,1.0,0.0,00:00:00
42.0,1,0.0,0.0,00:00:00
43.0,1,0.0,0.0,00:00:00
44.0,0,1.0,0.0,00:00:00
45.0,0,1.0,0.0,00:00:00
46.0,2,1.0,0.0,01:00:00
47.0,0,1.0,0.0,00:00:00
48.0,0,0.0,2.0,00:00:00
49.0,1,0.0,0.0,02:45:00
50.0,1,0.0,0.0,00:00:00
51.0,0,1.0,0.0,00:00:00
52.0,3,0.0,0.0,00:00:00
53.0,0,1.0,0.0,00:00:00
54.0,1,0.0,0.0,01:55:00
55.0,0,1.0,0.0,01:00:00
56.0,0,1.0,0.0,00:00:00
57.0,0,1.0,0.0,00:00:00
58.0,0,1.0,0.0,00:00:00
59.0,2,1.0,0.0,00:00:00
60.0,1,1.0,0.0,02:45:00
61.0,1,0.0,0.0,00:00:00
62.0,0,1.0,0.0,00:00:00
63.0,1,0.0,0.0,00:00:00
64.0,0,1.0,0.0,00:00:00
65.0,1,0.0,0.0,00:00:00
66.0,1,0.0,0.0,00:00:00
67.0,2,0.0,0.0,00:00:00
68.0,0,1.0,0.0,00:00:00
69.0,1,0.0,0.0,00:00:00
70.0,0,1.0,0.0,01:00:00
71.0,0,1.0,0.0,00:00:00
72.0,2,0.0,0.0,00:00:00
73.0,1,0.0,0.0,00:00:00
74.0,2,0.0,0.0,00:00:00
75.0,0,1.0,0.0,00:00:00
76.0,0,1.0,0.0,00:00:00
77.0,1,0.0,0.0,01:55:00
78.0,0,1.0,0.0,00:00:00
79.0,0,1.0,0.0,01:55:00
,60,48.0,7.0,
,115,,,
